Instance,Run_ID,Gen_0,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Gen_12,Gen_13,Gen_14,Gen_15,Gen_16,Gen_17,Gen_18,Gen_19,Gen_20,Gen_21,Gen_22,Gen_23,Gen_24,Gen_25
gapa,1,2095,1700,1700,1698,1698,1698,1698,1698,1698,5.4036760330200195
gapa,2,4123,3235,3235,3235,3235,3235,3235,5.219699859619141
gapa,3,1832,1361,1360,1360,1360,1360,1360,1360,5.147674322128296
gapa,4,3501,2625,2623,2623,2623,2623,2623,2623,8.644736051559448
gapa,5,1657,1158,1158,1158,1158,1158,1158,5.689318895339966
gapa,6,3131,2347,2343,2342,2342,2341,2341,2341,2341,2340,2340,2340,2340,2339,2339,2339,2339,2339,2339,28.58525800704956
gapb,1,1970,1880,1880,1880,1874,1874,1874,1874,1874,1874,4.856873989105225
gapb,2,4286,3597,3597,3596,3596,3596,3596,3593,3590,3590,3590,3590,3590,3587,3587,3587,3587,3582,3582,3582,3582,3582,3582,14.449488162994385
gapb,3,1779,1420,1413,1413,1413,1413,1413,1413,4.535913944244385
gapb,4,3598,2873,2872,2872,2872,2872,2862,2860,2860,2860,2858,2858,2858,2858,2858,2858,12.380455017089844
gapb,5,1470,1175,1172,1172,1170,1170,1170,1170,1170,1170,6.724119663238525
gapb,6,2946,2355,2352,2351,2351,2349,2348,2346,2346,2346,2346,2346,2346,14.854900121688843
gapc,1,2230,1955,1955,1955,1955,1951,1951,1951,1951,1951,1951,5.336060047149658
gapc,2,3975,3503,3499,3497,3497,3497,3497,3497,3497,5.336796045303345
gapc,3,1723,1422,1422,1422,1422,1422,1422,3.5586087703704834
gapc,4,3425,2846,2836,2836,2836,2836,2836,2836,5.8398518562316895
gapc,5,1520,1257,1256,1256,1256,1256,1256,1256,4.726271152496338
gapc,6,3037,2426,2426,2426,2426,2426,2426,6.5930399894714355
gapd,1,6894,6654,5616,5616,5393,5393,5393,5393,5331,5215,5215,5215,5215,5215,5215,24.620471000671387
gapd,2,14468,13606,13552,13528,13528,13516,13497,13497,13479,13479,13479,13479,13479,13479,8.687796115875244
gapd,3,8046,6746,6731,6707,6707,6707,6707,6707,6707,5.117944955825806
gapd,4,15810,13394,13364,13364,13364,13364,13364,13364,5.4669811725616455
gapd,5,9342,6577,6561,6561,6561,6561,6561,6561,5.456189155578613
gapd,6,17719,13216,13214,13214,13214,13214,13214,13214,7.066184043884277
