,file,id,val,saut,erreur,temps,val opt
0,gap1,0,330.0,6.0,0.017857142857142856,120.00353479385376,336
1,gap1,1,324.0,3.0,0.009174311926605505,120.00447654724121,327
2,gap1,2,321.0,18.0,0.05309734513274336,120.00323271751404,339
3,gap1,3,,,,0.00042557716369628906,341
4,gap1,4,319.0,7.0,0.02147239263803681,120.0044813156128,326
5,gap2,0,398.0,36.0,0.08294930875576037,120.00415277481079,434
6,gap2,1,427.0,9.0,0.020642201834862386,120.00463390350342,436
7,gap2,2,413.0,7.0,0.016666666666666666,120.00535941123962,420
8,gap2,3,401.0,18.0,0.04295942720763723,120.00603318214417,419
9,gap2,4,414.0,14.0,0.03271028037383177,120.00531601905823,428
10,gap3,0,561.0,19.0,0.032758620689655175,120.00598430633545,580
11,gap3,1,545.0,19.0,0.03368794326241135,120.00891256332397,564
12,gap3,2,556.0,17.0,0.029668411867364748,120.00981998443604,573
13,gap3,3,553.0,17.0,0.02982456140350877,120.0077292919159,570
14,gap3,4,527.0,37.0,0.06560283687943262,120.00402164459229,564
15,gap4,0,628.0,28.0,0.042682926829268296,120.01092576980591,656
16,gap4,1,627.0,17.0,0.026397515527950312,120.01139616966248,644
17,gap4,2,647.0,26.0,0.03863298662704309,120.00940108299255,673
18,gap4,3,622.0,25.0,0.03863987635239567,120.00742387771606,647
19,gap4,4,646.0,18.0,0.02710843373493976,120.01022934913635,664
20,gap5,0,535.0,28.0,0.0497335701598579,120.00938010215759,563
21,gap5,1,511.0,47.0,0.08422939068100359,120.00588965415955,558
22,gap5,2,549.0,15.0,0.026595744680851064,120.0054280757904,564
23,gap5,3,538.0,30.0,0.0528169014084507,120.00286936759949,568
24,gap5,4,524.0,35.0,0.0626118067978533,120.005699634552,559
25,gap6,0,743.0,18.0,0.023653088042049936,120.01540899276733,761
26,gap6,1,736.0,23.0,0.030303030303030304,120.01327395439148,759
27,gap6,2,703.0,55.0,0.07255936675461741,120.01300048828125,758
28,gap6,3,714.0,38.0,0.05053191489361702,120.01118063926697,752
29,gap6,4,713.0,34.0,0.04551539491298527,120.01010489463806,747
30,gap7,0,905.0,37.0,0.03927813163481953,120.01723027229309,942
31,gap7,1,929.0,20.0,0.02107481559536354,120.07491540908813,949
32,gap7,2,953.0,15.0,0.015495867768595042,121.72574353218079,968
33,gap7,3,905.0,40.0,0.042328042328042326,120.084317445755,945
34,gap7,4,897.0,54.0,0.056782334384858045,120.02572822570801,951
35,gap8,0,1104.0,29.0,0.02559576345984113,120.02860713005066,1133
36,gap8,1,1090.0,44.0,0.03880070546737213,120.02916741371155,1134
37,gap8,2,1090.0,51.0,0.044697633654688866,120.57967281341553,1141
38,gap8,3,1085.0,32.0,0.02864816472694718,120.03745627403259,1117
39,gap8,4,1084.0,43.0,0.038154392191659274,120.05385613441467,1127
40,gap9,0,670.0,36.0,0.05099150141643059,120.01122975349426,706
41,gap9,1,676.0,41.0,0.05718270571827057,120.00829744338989,717
42,gap9,2,691.0,21.0,0.02949438202247191,120.01585006713867,712
43,gap9,3,690.0,33.0,0.04564315352697095,120.00882315635681,723
44,gap9,4,666.0,40.0,0.056657223796033995,120.00971055030823,706
45,gap10,0,920.0,38.0,0.03966597077244259,120.02389883995056,958
46,gap10,1,954.0,9.0,0.009345794392523364,120.0356457233429,963
47,gap10,2,941.0,19.0,0.019791666666666666,120.4806592464447,960
48,gap10,3,925.0,22.0,0.023231256599788808,120.2194721698761,947
49,gap10,4,904.0,43.0,0.0454065469904963,120.02803301811218,947
50,gap11,0,1085.0,54.0,0.04741000877963126,120.05383205413818,1139
51,gap11,1,1130.0,48.0,0.04074702886247878,120.03950929641724,1178
52,gap11,2,1187.0,8.0,0.0066945606694560665,27906.788617372513,1195
53,gap11,3,1109.0,86.0,0.07196652719665272,120.12318563461304,1195
54,gap11,4,1114.0,57.0,0.04867634500426986,120.20021557807922,1171
55,gap12,0,1427.0,24.0,0.016540317022742935,120.7347662448883,1451
56,gap12,1,1429.0,20.0,0.013802622498274672,120.16206645965576,1449
57,gap12,2,1386.0,47.0,0.03279832519190509,120.38442516326904,1433
58,gap12,3,1407.0,40.0,0.027643400138217002,121.52372193336487,1447
59,gap12,4,1404.0,42.0,0.029045643153526972,121.28009676933289,1446
