,file,id,val,saut,erreur,temps,val opt
0,gap1,0,309.0,27.0,0.08035714285714286,120.02014398574829,336
1,gap1,1,317.0,10.0,0.03058103975535168,120.00378394126892,327
2,gap1,2,328.0,11.0,0.032448377581120944,120.00219464302063,339
3,gap1,3,,,,0.0,341
4,gap1,4,315.0,11.0,0.03374233128834356,120.0023467540741,326
5,gap2,0,401.0,33.0,0.07603686635944701,120.02350497245789,434
6,gap2,1,412.0,24.0,0.05504587155963303,120.00318884849548,436
7,gap2,2,416.0,4.0,0.009523809523809525,120.00378322601318,420
8,gap2,3,410.0,9.0,0.021479713603818614,120.00395107269287,419
9,gap2,4,418.0,10.0,0.02336448598130841,120.00470399856567,428
10,gap3,0,559.0,21.0,0.03620689655172414,120.00358510017395,580
11,gap3,1,545.0,19.0,0.03368794326241135,120.01643776893616,564
12,gap3,2,572.0,1.0,0.0017452006980802793,120.00622510910034,573
13,gap3,3,568.0,2.0,0.0035087719298245615,120.00516414642334,570
14,gap3,4,555.0,9.0,0.015957446808510637,120.00399088859558,564
15,gap4,0,652.0,4.0,0.006097560975609756,120.00519824028015,656
16,gap4,1,632.0,12.0,0.018633540372670808,120.00446009635925,644
17,gap4,2,659.0,14.0,0.020802377414561663,120.0047287940979,673
18,gap4,3,631.0,16.0,0.02472952086553323,120.00334143638611,647
19,gap4,4,645.0,19.0,0.0286144578313253,120.0034408569336,664
20,gap5,0,552.0,11.0,0.019538188277087035,120.0064148902893,563
21,gap5,1,540.0,18.0,0.03225806451612903,120.00498819351196,558
22,gap5,2,553.0,11.0,0.01950354609929078,120.00418758392334,564
23,gap5,3,556.0,12.0,0.02112676056338028,120.00551867485046,568
24,gap5,4,549.0,10.0,0.017889087656529516,120.00656175613403,559
25,gap6,0,753.0,8.0,0.010512483574244415,120.00728940963745,761
26,gap6,1,729.0,30.0,0.039525691699604744,120.006911277771,759
27,gap6,2,722.0,36.0,0.047493403693931395,120.00663185119629,758
28,gap6,3,724.0,28.0,0.03723404255319149,120.00502324104309,752
29,gap6,4,732.0,15.0,0.020080321285140562,120.00683355331421,747
30,gap7,0,931.0,11.0,0.01167728237791932,120.00782752037048,942
31,gap7,1,934.0,15.0,0.015806111696522657,120.00964117050171,949
32,gap7,2,953.0,15.0,0.015495867768595042,120.01017999649048,968
33,gap7,3,913.0,32.0,0.033862433862433865,120.00885057449341,945
34,gap7,4,931.0,20.0,0.02103049421661409,120.00926542282104,951
35,gap8,0,1119.0,14.0,0.01235657546337158,120.01023888587952,1133
36,gap8,1,1103.0,31.0,0.027336860670194002,120.01239275932312,1134
37,gap8,2,1121.0,20.0,0.017528483786152498,120.01196479797363,1141
38,gap8,3,1097.0,20.0,0.017905102954341987,120.00778865814209,1117
39,gap8,4,1088.0,39.0,0.03460514640638864,120.00750184059143,1127
40,gap9,0,694.0,12.0,0.0169971671388102,120.00776863098145,706
41,gap9,1,694.0,23.0,0.03207810320781032,522.4307942390442,717
42,gap9,2,689.0,23.0,0.032303370786516857,120.00651788711548,712
43,gap9,3,709.0,14.0,0.019363762102351315,120.00769066810608,723
44,gap9,4,693.0,13.0,0.018413597733711047,120.0070436000824,706
45,gap10,0,945.0,13.0,0.013569937369519834,120.00879693031311,958
46,gap10,1,944.0,19.0,0.01973001038421599,120.01148986816406,963
47,gap10,2,944.0,16.0,0.016666666666666666,120.00859999656677,960
48,gap10,3,928.0,19.0,0.02006335797254488,120.0118613243103,947
49,gap10,4,931.0,16.0,0.01689545934530095,120.01244163513184,947
50,gap11,0,1120.0,19.0,0.016681299385425813,120.0201826095581,1139
51,gap11,1,1171.0,7.0,0.005942275042444821,120.01345705986023,1178
52,gap11,2,1184.0,11.0,0.009205020920502092,120.01355195045471,1195
53,gap11,3,1149.0,46.0,0.038493723849372385,120.01260924339294,1195
54,gap11,4,1154.0,17.0,0.014517506404782237,120.01428985595703,1171
55,gap12,0,1436.0,15.0,0.010337698139214336,120.01895117759705,1451
56,gap12,1,1435.0,14.0,0.00966183574879227,120.02079606056213,1449
57,gap12,2,1414.0,19.0,0.013258897418004187,120.03942942619324,1433
58,gap12,3,1434.0,13.0,0.008984105044920525,120.04112672805786,1447
59,gap12,4,1429.0,17.0,0.011756569847856155,120.02452087402344,1446
