,instance,id,val,saut,erreur,temps,val opt
0,d5-200,1,13632,890,6.98,0.476,12742
1,d10-100,2,6812,465,7.33,0.316,6347
2,d10-200,3,13446,1016,8.17,0.823,12430
3,d20-100,4,6612,427,6.9,0.971,6185
4,d20-200,5,13268,1027,8.39,2.449,12241
