,instance,id,val,saut,erreur,temps,val opt
0,a5-100,0,1702,4,0.24,300.194,1698
1,a5-200,1,3235,0,0.0,300.564,3235
2,a10-100,2,1362,2,0.15,300.373,1360
3,a10-200,3,2628,5,0.19,301.183,2623
4,a20-100,4,1163,5,0.43,300.781,1158
5,a20-200,5,2349,10,0.43,302.641,2339
6,b5-100,0,1892,49,2.66,300.053,1843
7,b5-200,1,3600,248,7.4,300.346,3352
8,b10-100,2,1424,17,1.21,300.359,1407
9,b10-200,3,2905,78,2.76,300.739,2827
10,b20-100,4,1193,27,2.32,300.51,1166
11,b20-200,5,2364,25,1.07,301.899,2339
12,c5-100,0,1971,40,2.07,300.082,1931
13,c5-200,1,3516,60,1.74,300.267,3456
14,c10-100,2,1439,37,2.64,300.186,1402
15,c10-200,3,2852,46,1.64,300.965,2806
16,c20-100,4,1282,39,3.14,300.452,1243
17,c20-200,5,2435,44,1.84,301.83,2391
