,instance,id,val,saut,erreur,temps,val opt
0,d5-200,1,13598,856,6.72,180.968,12742
1,d10-100,2,6707,360,5.67,190.773,6347
2,d10-200,3,13371,941,7.57,183.355,12430
3,d20-100,4,6510,325,5.25,226.714,6185
4,d20-200,5,13157,916,7.48,191.011,12241
