,instance,id,val,saut,erreur,temps,val opt
0,d5-200,1,13642,900,7.06,300.224,12742
1,d10-100,2,6803,456,7.18,300.151,6347
2,d10-200,3,13455,1025,8.25,300.497,12430
3,d20-100,4,6633,448,7.24,300.455,6185
4,d20-200,5,13269,1028,8.4,301.336,12241
