,file,id,val,saut,erreur,temps,val opt
0,gap1,0,330.0,6.0,0.017857142857142856,163.25163793563843,336
1,gap1,1,324.0,3.0,0.009174311926605505,168.43615102767944,327
2,gap1,2,321.0,18.0,0.05309734513274336,164.6518955230713,339
3,gap1,3,,,,0.006321430206298828,341
4,gap1,4,324.0,2.0,0.006134969325153374,169.69180536270142,326
5,gap2,0,398.0,36.0,0.08294930875576037,187.39561986923218,434
6,gap2,1,427.0,9.0,0.020642201834862386,147.41225409507751,436
7,gap2,2,413.0,7.0,0.016666666666666666,176.64644837379456,420
8,gap2,3,401.0,18.0,0.04295942720763723,186.2075755596161,419
9,gap2,4,411.0,17.0,0.0397196261682243,188.6894428730011,428
10,gap3,0,561.0,19.0,0.032758620689655175,169.71102213859558,580
11,gap3,1,545.0,19.0,0.03368794326241135,172.2571177482605,564
12,gap3,2,556.0,17.0,0.029668411867364748,181.1649148464203,573
13,gap3,3,553.0,17.0,0.02982456140350877,182.53237128257751,570
14,gap3,4,527.0,37.0,0.06560283687943262,176.92623257637024,564
15,gap4,0,628.0,28.0,0.042682926829268296,155.7824342250824,656
16,gap4,1,627.0,17.0,0.026397515527950312,185.76165652275085,644
17,gap4,2,647.0,26.0,0.03863298662704309,151.14855360984802,673
18,gap4,3,622.0,25.0,0.03863987635239567,153.89184427261353,647
19,gap4,4,646.0,18.0,0.02710843373493976,172.18358039855957,664
20,gap5,0,538.0,25.0,0.04440497335701599,175.25821685791016,563
21,gap5,1,511.0,47.0,0.08422939068100359,169.47135996818542,558
22,gap5,2,550.0,14.0,0.024822695035460994,162.40035343170166,564
23,gap5,3,538.0,30.0,0.0528169014084507,144.29179096221924,568
24,gap5,4,524.0,35.0,0.0626118067978533,173.422034740448,559
25,gap6,0,743.0,18.0,0.023653088042049936,143.11087203025818,761
26,gap6,1,736.0,23.0,0.030303030303030304,168.61019849777222,759
27,gap6,2,704.0,54.0,0.0712401055408971,146.18644213676453,758
28,gap6,3,714.0,38.0,0.05053191489361702,163.0809555053711,752
29,gap6,4,713.0,34.0,0.04551539491298527,144.57897567749023,747
30,gap7,0,906.0,36.0,0.03821656050955414,136.54500269889832,942
31,gap7,1,920.0,29.0,0.030558482613277135,186.45466709136963,949
32,gap7,2,948.0,20.0,0.02066115702479339,181.32029151916504,968
33,gap7,3,892.0,53.0,0.056084656084656084,177.5052614212036,945
34,gap7,4,898.0,53.0,0.05573080967402734,146.52813601493835,951
35,gap8,0,1106.0,27.0,0.02383053839364519,147.78480291366577,1133
36,gap8,1,1090.0,44.0,0.03880070546737213,170.9723081588745,1134
37,gap8,2,1090.0,51.0,0.044697633654688866,157.8203582763672,1141
38,gap8,3,1086.0,31.0,0.02775290957923008,162.06105661392212,1117
39,gap8,4,1072.0,55.0,0.048802129547471165,153.6465072631836,1127
40,gap9,0,675.0,31.0,0.043909348441926344,182.6099750995636,706
41,gap9,1,681.0,36.0,0.0502092050209205,146.25684690475464,717
42,gap9,2,691.0,21.0,0.02949438202247191,153.92567038536072,712
43,gap9,3,699.0,24.0,0.03319502074688797,155.83720064163208,723
44,gap9,4,669.0,37.0,0.05240793201133145,157.74874472618103,706
45,gap10,0,920.0,38.0,0.03966597077244259,174.89875650405884,958
46,gap10,1,954.0,9.0,0.009345794392523364,184.04430222511292,963
47,gap10,2,939.0,21.0,0.021875,151.11289477348328,960
48,gap10,3,918.0,29.0,0.030623020063357972,145.95148634910583,947
49,gap10,4,906.0,41.0,0.04329461457233368,166.4930272102356,947
50,gap11,0,1083.0,56.0,0.04916593503072871,171.1211187839508,1139
51,gap11,1,1130.0,48.0,0.04074702886247878,150.62050819396973,1178
52,gap11,2,1183.0,12.0,0.0100418410041841,135.45249247550964,1195
53,gap11,3,1110.0,85.0,0.07112970711297072,159.18453741073608,1195
54,gap11,4,1120.0,51.0,0.04355251921434671,150.4320821762085,1171
55,gap12,0,1424.0,27.0,0.018607856650585803,142.63538265228271,1451
56,gap12,1,1427.0,22.0,0.01518288474810214,145.32619380950928,1449
57,gap12,2,1383.0,50.0,0.034891835310537335,134.67072224617004,1433
58,gap12,3,1402.0,45.0,0.031098825155494125,145.0651650428772,1447
59,gap12,4,1397.0,49.0,0.0338865836791148,134.59351563453674,1446
