,gap1,gap10,gap11,gap12,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9
0,"{'val': 321, 'time': 120.01566624641418}","{'val': 943, 'time': 120.00996804237366}","{'val': 1126, 'time': 120.01579070091248}","{'val': 1436, 'time': 120.01814341545105}","{'val': 417, 'time': 120.00250577926636}","{'val': 568, 'time': 120.00352764129639}","{'val': 630, 'time': 120.00404047966003}","{'val': 534, 'time': 120.00249910354614}","{'val': 741, 'time': 120.00686073303223}","{'val': 931, 'time': 120.00834131240845}","{'val': 1110, 'time': 120.00858855247498}","{'val': 696, 'time': 120.00780653953552}"
1,"{'val': 317, 'time': 120.00226259231567}","{'val': 944, 'time': 120.01094484329224}","{'val': 1162, 'time': 120.01275825500488}","{'val': 1435, 'time': 120.0225727558136}","{'val': 416, 'time': 120.00124502182007}","{'val': 553, 'time': 120.00466179847717}","{'val': 632, 'time': 120.00324630737305}","{'val': 526, 'time': 120.00303602218628}","{'val': 730, 'time': 120.00759410858154}","{'val': 934, 'time': 120.01215052604675}","{'val': 1097, 'time': 120.00841951370239}","{'val': 698, 'time': 120.00607562065125}"
2,"{'val': 298, 'time': 120.01929759979248}","{'val': 944, 'time': 120.00931525230408}","{'val': 1184, 'time': 120.01772928237915}","{'val': 1422, 'time': 120.02184820175171}","{'val': 406, 'time': 120.0021538734436}","{'val': 572, 'time': 120.00308918952942}","{'val': 656, 'time': 120.00488066673279}","{'val': 557, 'time': 120.00435853004456}","{'val': 721, 'time': 120.00614190101624}","{'val': 945, 'time': 120.00997185707092}","{'val': 1117, 'time': 120.00986289978027}","{'val': 689, 'time': 120.00656628608704}"
3,"{'val': 321, 'time': 120.00172019004822}","{'val': 917, 'time': 120.00959968566895}","{'val': 1147, 'time': 120.01207113265991}","{'val': 1426, 'time': 120.02009057998657}","{'val': 412, 'time': 120.00221157073975}","{'val': 568, 'time': 120.00408124923706}","{'val': 634, 'time': 120.00201439857483}","{'val': 551, 'time': 120.0047299861908}","{'val': 743, 'time': 120.00736093521118}","{'val': 914, 'time': 120.00986313819885}","{'val': 1092, 'time': 120.00898861885071}","{'val': 711, 'time': 120.00594401359558}"
4,"{'val': 294, 'time': 120.00277519226074}","{'val': 934, 'time': 120.01186752319336}","{'val': 1154, 'time': 120.01582431793213}","{'val': 1428, 'time': 120.02155685424805}","{'val': 420, 'time': 120.00387406349182}","{'val': 547, 'time': 120.00241994857788}","{'val': 654, 'time': 120.00364446640015}","{'val': 545, 'time': 120.0059072971344}","{'val': 732, 'time': 120.00433945655823}","{'val': 925, 'time': 120.00986790657043}","{'val': 1095, 'time': 120.00977349281311}","{'val': 686, 'time': 120.00529932975769}"
