,gap1,gap10,gap11,gap12,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9
0,"{'val': 330, 'time': 163.25163793563843}","{'val': 920, 'time': 174.89875650405884}","{'val': 1083, 'time': 171.1211187839508}","{'val': 1424, 'time': 142.63538265228271}","{'val': 398, 'time': 187.39561986923218}","{'val': 561, 'time': 169.71102213859558}","{'val': 628, 'time': 155.7824342250824}","{'val': 538, 'time': 175.25821685791016}","{'val': 743, 'time': 143.11087203025818}","{'val': 906, 'time': 136.54500269889832}","{'val': 1106, 'time': 147.78480291366577}","{'val': 675, 'time': 182.6099750995636}"
1,"{'val': 324, 'time': 168.43615102767944}","{'val': 954, 'time': 184.04430222511292}","{'val': 1130, 'time': 150.62050819396973}","{'val': 1427, 'time': 145.32619380950928}","{'val': 427, 'time': 147.41225409507751}","{'val': 545, 'time': 172.2571177482605}","{'val': 627, 'time': 185.76165652275085}","{'val': 511, 'time': 169.47135996818542}","{'val': 736, 'time': 168.61019849777222}","{'val': 920, 'time': 186.45466709136963}","{'val': 1090, 'time': 170.9723081588745}","{'val': 681, 'time': 146.25684690475464}"
2,"{'val': 321, 'time': 164.6518955230713}","{'val': 939, 'time': 151.11289477348328}","{'val': 1183, 'time': 135.45249247550964}","{'val': 1383, 'time': 134.67072224617004}","{'val': 413, 'time': 176.64644837379456}","{'val': 556, 'time': 181.1649148464203}","{'val': 647, 'time': 151.14855360984802}","{'val': 550, 'time': 162.40035343170166}","{'val': 704, 'time': 146.18644213676453}","{'val': 948, 'time': 181.32029151916504}","{'val': 1090, 'time': 157.8203582763672}","{'val': 691, 'time': 153.92567038536072}"
3,"{'val': -1, 'time': 0.006321430206298828}","{'val': 918, 'time': 145.95148634910583}","{'val': 1110, 'time': 159.18453741073608}","{'val': 1402, 'time': 145.0651650428772}","{'val': 401, 'time': 186.2075755596161}","{'val': 553, 'time': 182.53237128257751}","{'val': 622, 'time': 153.89184427261353}","{'val': 538, 'time': 144.29179096221924}","{'val': 714, 'time': 163.0809555053711}","{'val': 892, 'time': 177.5052614212036}","{'val': 1086, 'time': 162.06105661392212}","{'val': 699, 'time': 155.83720064163208}"
4,"{'val': 324, 'time': 169.69180536270142}","{'val': 906, 'time': 166.4930272102356}","{'val': 1120, 'time': 150.4320821762085}","{'val': 1397, 'time': 134.59351563453674}","{'val': 411, 'time': 188.6894428730011}","{'val': 527, 'time': 176.92623257637024}","{'val': 646, 'time': 172.18358039855957}","{'val': 524, 'time': 173.422034740448}","{'val': 713, 'time': 144.57897567749023}","{'val': 898, 'time': 146.52813601493835}","{'val': 1072, 'time': 153.6465072631836}","{'val': 669, 'time': 157.74874472618103}"
