,gap1,gap10,gap11,gap12,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9
0,"{'val': 317, 'time': 120.0024745464325}","{'val': 905, 'time': 120.01306962966919}","{'val': 1087, 'time': 122.060800075531}","{'val': 1426, 'time': 131.45726990699768}","{'val': 421, 'time': 120.0021071434021}","{'val': 560, 'time': 120.00434565544128}","{'val': 618, 'time': 120.00495672225952}","{'val': 537, 'time': 120.0038812160492}","{'val': 751, 'time': 120.01507234573364}","{'val': 923, 'time': 120.10866379737854}","{'val': 1092, 'time': 120.0250563621521}","{'val': 667, 'time': 120.00751566886902}"
1,"{'val': 324, 'time': 120.00273990631104}","{'val': 953, 'time': 121.13091611862183}","{'val': 1137, 'time': 120.02562713623047}","{'val': 1425, 'time': 120.53484582901001}","{'val': 427, 'time': 120.00117754936218}","{'val': 542, 'time': 120.00179052352905}","{'val': 627, 'time': 120.00586199760437}","{'val': 510, 'time': 120.0023922920227}","{'val': 735, 'time': 120.0080349445343}","{'val': 903, 'time': 120.01481199264526}","{'val': 1092, 'time': 120.02578830718994}","{'val': 667, 'time': 120.00505089759827}"
2,"{'val': 335, 'time': 120.00163149833679}","{'val': 941, 'time': 120.36002039909363}","{'val': 1163, 'time': 120.02729535102844}","{'val': 1389, 'time': 121.88343644142151}","{'val': 417, 'time': 120.00195074081421}","{'val': 560, 'time': 120.0040078163147}","{'val': 644, 'time': 120.05390095710754}","{'val': 536, 'time': 120.0046739578247}","{'val': 721, 'time': 120.02950739860535}","{'val': 956, 'time': 120.08505845069885}","{'val': 1109, 'time': 120.25666165351868}","{'val': 691, 'time': 120.00965905189514}"
3,"{'val': 324, 'time': 120.00011420249939}","{'val': 925, 'time': 120.15799736976624}","{'val': 1117, 'time': 120.8968448638916}","{'val': 1412, 'time': 124.57666087150574}","{'val': 408, 'time': 120.00319743156433}","{'val': 553, 'time': 120.00315690040588}","{'val': 622, 'time': 120.00372529029846}","{'val': 547, 'time': 120.00155115127563}","{'val': 714, 'time': 120.00778770446777}","{'val': 882, 'time': 120.00727915763855}","{'val': 1090, 'time': 120.0269832611084}","{'val': 696, 'time': 120.00603795051575}"
4,"{'val': 313, 'time': 120.00284218788147}","{'val': 907, 'time': 120.0130774974823}","{'val': 1118, 'time': 120.64222645759583}","{'val': 1403, 'time': 120.74945521354675}","{'val': 413, 'time': 120.00644946098328}","{'val': 536, 'time': 120.00209093093872}","{'val': 658, 'time': 120.03799557685852}","{'val': 534, 'time': 120.00211644172668}","{'val': 718, 'time': 120.00625085830688}","{'val': 908, 'time': 120.0264527797699}","{'val': 1091, 'time': 120.02568435668945}","{'val': 677, 'time': 120.0071473121643}"
