,file,id,val,saut,erreur,temps,val opt
0,gap1,0,330.0,6.0,0.017857142857142856,120.02993822097778,336
1,gap1,1,318.0,9.0,0.027522935779816515,120.00496745109558,327
2,gap1,2,321.0,18.0,0.05309734513274336,120.00334882736206,339
3,gap1,3,,,,0.0009520053863525391,341
4,gap1,4,319.0,7.0,0.02147239263803681,120.00576829910278,326
5,gap2,0,398.0,36.0,0.08294930875576037,120.00454449653625,434
6,gap2,1,427.0,9.0,0.020642201834862386,120.0051417350769,436
7,gap2,2,413.0,7.0,0.016666666666666666,120.00887274742126,420
8,gap2,3,399.0,20.0,0.0477326968973747,120.00648880004883,419
9,gap2,4,411.0,17.0,0.0397196261682243,120.00667548179626,428
10,gap3,0,561.0,19.0,0.032758620689655175,120.01123380661011,580
11,gap3,1,545.0,19.0,0.03368794326241135,120.0119993686676,564
12,gap3,2,556.0,17.0,0.029668411867364748,120.01268434524536,573
13,gap3,3,553.0,17.0,0.02982456140350877,120.01148629188538,570
14,gap3,4,527.0,37.0,0.06560283687943262,120.00642848014832,564
15,gap4,0,628.0,28.0,0.042682926829268296,120.02403402328491,656
16,gap4,1,627.0,17.0,0.026397515527950312,120.01731419563293,644
17,gap4,2,647.0,26.0,0.03863298662704309,120.01526927947998,673
18,gap4,3,622.0,25.0,0.03863987635239567,120.00949597358704,647
19,gap4,4,646.0,18.0,0.02710843373493976,120.0129861831665,664
20,gap5,0,526.0,37.0,0.06571936056838366,120.00767731666565,563
21,gap5,1,511.0,47.0,0.08422939068100359,120.00647163391113,558
22,gap5,2,549.0,15.0,0.026595744680851064,120.00838208198547,564
23,gap5,3,538.0,30.0,0.0528169014084507,120.00497031211853,568
24,gap5,4,524.0,35.0,0.0626118067978533,120.00584363937378,559
25,gap6,0,742.0,19.0,0.024967148488830485,120.03185081481934,761
26,gap6,1,736.0,23.0,0.030303030303030304,120.02205538749695,759
27,gap6,2,703.0,55.0,0.07255936675461741,120.02075457572937,758
28,gap6,3,714.0,38.0,0.05053191489361702,120.01945066452026,752
29,gap6,4,713.0,34.0,0.04551539491298527,120.02098989486694,747
30,gap7,0,905.0,37.0,0.03927813163481953,120.03563189506531,942
31,gap7,1,920.0,29.0,0.030558482613277135,120.05724930763245,949
32,gap7,2,948.0,20.0,0.02066115702479339,120.06282091140747,968
33,gap7,3,892.0,53.0,0.056084656084656084,120.03978729248047,945
34,gap7,4,894.0,57.0,0.05993690851735016,120.0435299873352,951
35,gap8,0,1104.0,29.0,0.02559576345984113,120.06064128875732,1133
36,gap8,1,1090.0,44.0,0.03880070546737213,120.05584955215454,1134
37,gap8,2,1084.0,57.0,0.04995617879053462,120.05434322357178,1141
38,gap8,3,1084.0,33.0,0.02954341987466428,120.06117606163025,1117
39,gap8,4,1072.0,55.0,0.048802129547471165,120.05527186393738,1127
40,gap9,0,670.0,36.0,0.05099150141643059,120.02074980735779,706
41,gap9,1,676.0,41.0,0.05718270571827057,120.01523065567017,717
42,gap9,2,691.0,21.0,0.02949438202247191,120.02622199058533,712
43,gap9,3,688.0,35.0,0.048409405255878286,120.01227450370789,723
44,gap9,4,666.0,40.0,0.056657223796033995,120.01714754104614,706
45,gap10,0,920.0,38.0,0.03966597077244259,120.04004216194153,958
46,gap10,1,954.0,9.0,0.009345794392523364,120.06820321083069,963
47,gap10,2,931.0,29.0,0.030208333333333334,120.04105496406555,960
48,gap10,3,918.0,29.0,0.030623020063357972,120.04516220092773,947
49,gap10,4,904.0,43.0,0.0454065469904963,120.04696393013,947
50,gap11,0,1075.0,64.0,0.056189640035118525,120.09101104736328,1139
51,gap11,1,1130.0,48.0,0.04074702886247878,598.3205649852753,1178
52,gap11,2,1171.0,24.0,0.0200836820083682,120.09573984146118,1195
53,gap11,3,1090.0,105.0,0.08786610878661087,120.08618664741516,1195
54,gap11,4,1103.0,68.0,0.05807002561912895,120.08429718017578,1171
55,gap12,0,1420.0,31.0,0.021364576154376293,120.17892527580261,1451
56,gap12,1,1416.0,33.0,0.022774327122153208,120.17472863197327,1449
57,gap12,2,1365.0,68.0,0.04745289602233078,120.12252449989319,1433
58,gap12,3,1387.0,60.0,0.0414651002073255,120.12616443634033,1447
59,gap12,4,1393.0,53.0,0.03665283540802213,120.12135457992554,1446
