,instance,id,m,t,val,time
0,c05100,0,5,100,1974,120.01651763916016
1,c05200,0,5,200,3516,120.03390836715698
2,c10100,0,10,100,1414,120.70960402488708
3,c10200,0,10,200,2846,120.15321612358093
4,c10400,0,10,400,5684,120.45245432853699
5,c15900,0,15,900,11521,124.80235862731934
6,c20100,0,20,100,1257,121.77325081825256
7,c201600,0,20,1600,19051,142.10102486610413
8,c20200,0,20,200,2430,120.38106536865234
9,c20400,0,20,400,4880,123.72539830207825
10,c30900,0,30,900,10134,132.4614064693451
11,c401600,0,40,1600,17379,171.74002981185913
12,c40400,0,40,400,4284,126.09116196632385
13,c60900,0,60,900,9420,237.92903399467468
14,c801600,0,80,1600,16433,300.61631059646606
15,d05200,0,5,200,13598,120.02006983757019
16,d10100,0,10,100,6756,120.27051019668579
17,d10200,0,10,200,13444,120.12432527542114
18,d10400,0,10,400,26965,120.81274676322937
19,d15900,0,15,900,60081,124.15057420730591
20,d20100,0,20,100,6543,123.87091994285583
21,d201600,0,20,1600,105886,142.69065594673157
22,d20200,0,20,200,13199,121.34991002082825
23,d20400,0,20,400,26447,123.4166738986969
24,d30900,0,30,900,58826,143.66923427581787
25,d401600,0,40,1600,103979,169.94452095031738
26,d40400,0,40,400,26041,145.52357006072998
27,d60900,0,60,900,57407,278.5974590778351
