,file,id,val,saut,erreur,temps,val opt
0,gap1,0,326,10,0.02976190476190476,0.5026845932006836,336
1,gap1,1,318,9,0.027522935779816515,0.5026240348815918,327
2,gap1,2,319,20,0.058997050147492625,0.5011169910430908,339
3,gap1,3,327,14,0.04105571847507331,0.5036466121673584,341
4,gap1,4,311,15,0.046012269938650305,0.5026566982269287,326
5,gap2,0,428,6,0.013824884792626729,0.5026531219482422,434
6,gap2,1,402,34,0.0779816513761468,0.5046415328979492,436
7,gap2,2,407,13,0.030952380952380953,0.5026507377624512,420
8,gap2,3,408,11,0.026252983293556086,0.5036656856536865,419
9,gap2,4,417,11,0.02570093457943925,0.5026438236236572,428
10,gap3,0,572,8,0.013793103448275862,0.5036454200744629,580
11,gap3,1,549,15,0.026595744680851064,0.5039389133453369,564
12,gap3,2,572,1,0.0017452006980802793,0.5036523342132568,573
13,gap3,3,565,5,0.008771929824561403,0.5037961006164551,570
14,gap3,4,553,11,0.01950354609929078,0.5053226947784424,564
15,gap4,0,633,23,0.0350609756097561,0.5036187171936035,656
16,gap4,1,632,12,0.018633540372670808,0.5037534236907959,644
17,gap4,2,653,20,0.029717682020802376,0.5036797523498535,673
18,gap4,3,621,26,0.0401854714064915,0.502692461013794,647
19,gap4,4,654,10,0.015060240963855422,0.5031661987304688,664
20,gap5,0,552,11,0.019538188277087035,0.5054376125335693,563
21,gap5,1,530,28,0.05017921146953405,0.5044605731964111,558
22,gap5,2,548,16,0.028368794326241134,0.503659725189209,564
23,gap5,3,544,24,0.04225352112676056,0.505462646484375,568
24,gap5,4,544,15,0.026833631484794274,0.5046508312225342,559
25,gap6,0,744,17,0.022339027595269383,0.5056374073028564,761
26,gap6,1,735,24,0.03162055335968379,0.5054292678833008,759
27,gap6,2,737,21,0.027704485488126648,0.5066184997558594,758
28,gap6,3,732,20,0.026595744680851064,0.5066449642181396,752
29,gap6,4,743,4,0.00535475234270415,0.5066442489624023,747
30,gap7,0,931,11,0.01167728237791932,0.5096478462219238,942
31,gap7,1,934,15,0.015806111696522657,0.5096380710601807,949
32,gap7,2,950,18,0.01859504132231405,0.5086686611175537,968
33,gap7,3,913,32,0.033862433862433865,0.5096259117126465,945
34,gap7,4,930,21,0.022082018927444796,0.5082736015319824,951
35,gap8,0,1116,17,0.01500441306266549,0.5295994281768799,1133
36,gap8,1,1105,29,0.025573192239858905,0.5638320446014404,1134
37,gap8,2,1119,22,0.019281332164767746,0.5135960578918457,1141
38,gap8,3,1096,21,0.018800358102059087,0.5166387557983398,1117
39,gap8,4,1098,29,0.025732031943212066,0.5096256732940674,1127
40,gap9,0,690,16,0.0226628895184136,0.5106716156005859,706
41,gap9,1,694,23,0.03207810320781032,0.5056145191192627,717
42,gap9,2,689,23,0.032303370786516857,0.5076248645782471,712
43,gap9,3,712,11,0.015214384508990318,0.5078995227813721,723
44,gap9,4,684,22,0.031161473087818695,0.5106542110443115,706
45,gap10,0,944,14,0.014613778705636743,0.5107812881469727,958
46,gap10,1,941,22,0.02284527518172378,0.5099561214447021,963
47,gap10,2,949,11,0.011458333333333333,0.5106384754180908,960
48,gap10,3,923,24,0.025343189017951427,0.5096774101257324,947
49,gap10,4,934,13,0.013727560718057022,0.5116634368896484,947
50,gap11,0,1118,21,0.018437225636523266,0.5123171806335449,1139
51,gap11,1,1164,14,0.011884550084889643,0.5156567096710205,1178
52,gap11,2,1184,11,0.009205020920502092,0.5146522521972656,1195
53,gap11,3,1158,37,0.03096234309623431,0.5156216621398926,1195
54,gap11,4,1154,17,0.014517506404782237,0.5152647495269775,1171
55,gap12,0,1435,16,0.011026878015161957,0.5196154117584229,1451
56,gap12,1,1435,14,0.00966183574879227,0.5263235569000244,1449
57,gap12,2,1418,15,0.0104675505931612,0.5263104438781738,1433
58,gap12,3,1431,16,0.0110573600552868,0.5246071815490723,1447
59,gap12,4,1428,18,0.012448132780082987,0.5345733165740967,1446
