,gap1,gap10,gap11,gap12,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9
0,"{'val': 334, 'time': 20.19631552696228}","{'val': 943, 'time': 20.208725690841675}","{'val': 1127, 'time': 20.18732261657715}","{'val': 1436, 'time': 60.42143416404724}","{'val': 420, 'time': 20.211445093154907}","{'val': 576, 'time': 20.19387125968933}","{'val': 646, 'time': 20.1965651512146}","{'val': 555, 'time': 20.207371711730957}","{'val': 755, 'time': 20.179903507232666}","{'val': 931, 'time': 20.19529414176941}","{'val': 1120, 'time': 20.201087713241577}","{'val': 699, 'time': 20.192152976989746}"
1,"{'val': 318, 'time': 20.182174682617188}","{'val': 944, 'time': 20.17278027534485}","{'val': 1171, 'time': 20.195228099822998}","{'val': 1440, 'time': 42.3629674911499}","{'val': 426, 'time': 20.21238613128662}","{'val': 555, 'time': 20.197227001190186}","{'val': 632, 'time': 20.197126865386963}","{'val': 538, 'time': 20.17554259300232}","{'val': 737, 'time': 20.20614194869995}","{'val': 938, 'time': 20.182512521743774}","{'val': 1105, 'time': 20.183902740478516}","{'val': 706, 'time': 20.169539213180542}"
2,"{'val': 328, 'time': 20.19333028793335}","{'val': 951, 'time': 20.203147888183594}","{'val': 1187, 'time': 20.1874840259552}","{'val': 1420, 'time': 46.57257080078125}","{'val': 415, 'time': 20.18122410774231}","{'val': 572, 'time': 20.182382822036743}","{'val': 665, 'time': 20.189990758895874}","{'val': 559, 'time': 20.20230984687805}","{'val': 741, 'time': 20.180886268615723}","{'val': 953, 'time': 20.194414615631104}","{'val': 1124, 'time': 20.187137842178345}","{'val': 702, 'time': 20.187477111816406}"
3,"{'val': 322, 'time': 20.21013641357422}","{'val': 928, 'time': 20.19500732421875}","{'val': 1158, 'time': 20.1856210231781}","{'val': 1437, 'time': 37.87258720397949}","{'val': 398, 'time': 20.184014797210693}","{'val': 565, 'time': 20.189720392227173}","{'val': 634, 'time': 20.181386709213257}","{'val': 565, 'time': 20.199129581451416}","{'val': 743, 'time': 20.200101852416992}","{'val': 925, 'time': 20.206278800964355}","{'val': 1102, 'time': 20.19368577003479}","{'val': 712, 'time': 20.18740940093994}"
4,"{'val': 315, 'time': 20.19627571105957}","{'val': 939, 'time': 20.181034326553345}","{'val': 1154, 'time': 20.202301263809204}","{'val': 1432, 'time': 48.09111714363098}","{'val': 420, 'time': 20.18242907524109}","{'val': 553, 'time': 20.202757358551025}","{'val': 654, 'time': 20.20112681388855}","{'val': 552, 'time': 20.17609477043152}","{'val': 735, 'time': 20.16215205192566}","{'val': 938, 'time': 20.174196004867554}","{'val': 1112, 'time': 20.200517177581787}","{'val': 693, 'time': 20.19564199447632}"
