,instance,id,m,t,val,time
0,gap1,0,5,15,305,0.5066871643066406
1,gap1,1,5,15,310,0.5056459903717041
2,gap1,2,5,15,323,0.5116331577301025
3,gap1,3,5,15,323,0.5096380710601807
4,gap1,4,5,15,272,0.5040595531463623
5,gap10,0,10,40,685,0.5285873413085938
6,gap10,1,10,40,657,0.557497501373291
7,gap10,2,10,40,696,0.5255978107452393
8,gap10,3,10,40,659,0.529909610748291
9,gap10,4,10,40,677,0.5216059684753418
10,gap11,0,10,50,655,0.5315432548522949
11,gap11,1,10,50,633,0.5340065956115723
12,gap11,2,10,50,651,0.5396029949188232
13,gap11,3,10,50,621,0.5305571556091309
14,gap11,4,10,50,633,0.5335423946380615
15,gap12,0,10,60,1028,0.5634970664978027
16,gap12,1,10,60,1006,0.5429942607879639
17,gap12,2,10,60,985,0.5326104164123535
18,gap12,3,10,60,991,0.5445373058319092
19,gap12,4,10,60,992,0.538567066192627
20,gap2,0,5,20,323,0.507641077041626
21,gap2,1,5,20,388,0.5339705944061279
22,gap2,2,5,20,297,0.509636402130127
23,gap2,3,5,20,289,0.509638786315918
24,gap2,4,5,20,308,0.5116574764251709
25,gap3,0,5,25,477,0.5128335952758789
26,gap3,1,5,25,440,0.511638879776001
27,gap3,2,5,25,461,0.5086538791656494
28,gap3,3,5,25,445,0.5096147060394287
29,gap3,4,5,25,429,0.513075590133667
30,gap4,0,5,30,483,0.5116345882415771
31,gap4,1,5,30,477,0.5185890197753906
32,gap4,2,5,30,476,0.5126299858093262
33,gap4,3,5,30,466,0.5106348991394043
34,gap4,4,5,30,485,0.5107178688049316
35,gap5,0,8,24,430,0.511641263961792
36,gap5,1,8,24,396,0.5086655616760254
37,gap5,2,8,24,404,0.5106322765350342
38,gap5,3,8,24,405,0.5156476497650146
39,gap5,4,8,24,420,0.5111513137817383
40,gap6,0,8,32,550,0.5216236114501953
41,gap6,1,8,32,564,0.5156612396240234
42,gap6,2,8,32,534,0.5160083770751953
43,gap6,3,8,32,538,0.5136234760284424
44,gap6,4,8,32,537,0.515622615814209
45,gap7,0,8,40,698,0.5236225128173828
46,gap7,1,8,40,696,0.5186147689819336
47,gap7,2,8,40,711,0.5166895389556885
48,gap7,3,8,40,675,0.5176539421081543
49,gap7,4,8,40,673,0.5225956439971924
50,gap8,0,8,48,866,0.5266523361206055
51,gap8,1,8,48,871,0.528588056564331
52,gap8,2,8,48,848,0.524691104888916
53,gap8,3,8,48,836,0.5216372013092041
54,gap8,4,8,48,858,0.5226938724517822
55,gap9,0,10,30,492,0.5206089019775391
56,gap9,1,10,30,508,0.5166313648223877
57,gap9,2,10,30,514,0.5146181583404541
58,gap9,3,10,30,529,0.5255932807922363
59,gap9,4,10,30,519,0.5196340084075928
