,gap1,gap10,gap11,gap12,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9
0,"{'val': 309, 'time': 480.5822021961212}","{'val': 945, 'time': 480.0088188648224}","{'val': 1120, 'time': 480.0116059780121}","{'val': 1436, 'time': 480.01661229133606}","{'val': 401, 'time': 480.00126671791077}","{'val': 559, 'time': 480.00183749198914}","{'val': 652, 'time': 480.0020925998688}","{'val': 552, 'time': 480.00273537635803}","{'val': 753, 'time': 480.00525760650635}","{'val': 931, 'time': 480.0061135292053}","{'val': 1119, 'time': 480.0062675476074}","{'val': 694, 'time': 480.0043134689331}"
1,"{'val': 317, 'time': 480.00207352638245}","{'val': 944, 'time': 480.0085537433624}","{'val': 1171, 'time': 480.0161597728729}","{'val': 1435, 'time': 480.02149629592896}","{'val': 412, 'time': 480.0009431838989}","{'val': 545, 'time': 480.00187397003174}","{'val': 632, 'time': 480.00157952308655}","{'val': 540, 'time': 480.00365376472473}","{'val': 729, 'time': 480.0043840408325}","{'val': 934, 'time': 480.00932455062866}","{'val': 1103, 'time': 480.00945949554443}","{'val': 694, 'time': 480.0048944950104}"
2,"{'val': 328, 'time': 480.00066781044006}","{'val': 944, 'time': 480.0081133842468}","{'val': 1184, 'time': 480.01122403144836}","{'val': 1414, 'time': 480.02039551734924}","{'val': 416, 'time': 480.00263142585754}","{'val': 572, 'time': 480.0025842189789}","{'val': 659, 'time': 480.0018484592438}","{'val': 553, 'time': 480.0028829574585}","{'val': 722, 'time': 480.0037627220154}","{'val': 953, 'time': 480.00728249549866}","{'val': 1121, 'time': 480.00992703437805}","{'val': 689, 'time': 480.0057179927826}"
3,"{'val': -1, 'time': 0.00104522705078125}","{'val': 928, 'time': 480.0097408294678}","{'val': 1149, 'time': 480.0126225948334}","{'val': 1434, 'time': 480.01948976516724}","{'val': 410, 'time': 480.0021331310272}","{'val': 565, 'time': 480.002158164978}","{'val': 631, 'time': 480.00170969963074}","{'val': 556, 'time': 480.00222063064575}","{'val': 725, 'time': 480.00447487831116}","{'val': 913, 'time': 480.00677037239075}","{'val': 1097, 'time': 480.006560087204}","{'val': 709, 'time': 480.0034101009369}"
4,"{'val': 315, 'time': 480.00160479545593}","{'val': 931, 'time': 480.00882601737976}","{'val': 1154, 'time': 480.01394486427307}","{'val': 1429, 'time': 480.02437019348145}","{'val': 418, 'time': 480.00193548202515}","{'val': 555, 'time': 480.00161695480347}","{'val': 645, 'time': 480.00199246406555}","{'val': 549, 'time': 480.00271439552307}","{'val': 732, 'time': 480.0059540271759}","{'val': 931, 'time': 480.0056993961334}","{'val': 1088, 'time': 480.006707906723}","{'val': 693, 'time': 480.00427198410034}"
