,instance,id,m,t,val,time
0,gapa,0,5,100,1700,180.9795322418213
1,gapa,1,5,200,3235,182.38682436943054
2,gapa,2,10,100,1361,185.62529492378235
3,gapa,3,10,200,2623,190.91509413719177
4,gapa,4,20,100,1158,185.4897243976593
5,gapa,5,20,200,2339,198.19036078453064
6,gapb,0,5,100,1864,180.39246535301208
7,gapb,1,5,200,3581,181.30633330345154
8,gapb,2,10,100,1413,182.27426624298096
9,gapb,3,10,200,2860,237.47069573402405
10,gapb,4,20,100,1170,201.41278052330017
11,gapb,5,20,200,2347,284.9826514720917
12,gapc,0,5,100,1952,180.6210596561432
13,gapc,1,5,200,3500,181.7729787826538
14,gapc,2,10,100,1414,206.56603693962097
15,gapc,3,10,200,2838,187.04588747024536
16,gapc,4,20,100,1255,205.09377932548523
17,gapc,5,20,200,2424,189.9579246044159
