,instance,id,m,t,val,time
0,gapd,1,5,200,13659,0.09474539756774902
1,gapd,2,10,100,6826,0.04887056350708008
2,gapd,3,10,200,13463,0.14461708068847656
3,gapd,4,20,100,6667,0.11568784713745117
4,gapd,5,20,200,13277,0.4030427932739258
